entry,exit,pnl,reason,type,pnl_pct,entry_time,exit_time
110145.44,111169.92,-82.77003998855075,SL,short,-0.9301156725144464,2025-10-20 00:00:00,2025-10-20 04:00:00
111169.92,108086.37,245.22404427079277,TP,short,2.7737269218148244,2025-10-20 04:00:00,2025-10-21 04:00:00
111780.39,107555.05,340.6801836166155,TP,short,3.780036909873007,2025-10-21 16:00:00,2025-10-22 08:00:00
110046.91,111004.89,-80.5325704698419,SL,short,-0.8705196720198649,2025-10-24 12:00:00,2025-10-24 20:00:00
112898.45,112523.49,-30.537635234367176,Trend Change,long,-0.33212147730991154,2025-10-28 20:00:00,2025-10-29 00:00:00
111509.74,107711.56,312.4570559563304,TP,short,3.4061419208761565,2025-10-29 12:00:00,2025-10-30 12:00:00
110202.9,105745.71,379.8648281791637,TP,short,4.044530588577967,2025-10-31 12:00:00,2025-11-03 12:00:00
103762.17,104805.57,-97.117507878019,SL,short,-1.0055687925570647,2025-11-09 12:00:00,2025-11-09 16:00:00
104722.96,106027.97,-119.50604466396874,SL,short,-1.246154615950499,2025-11-09 20:00:00,2025-11-10 00:00:00
105079.99,105817.99,-66.76506477903163,SL,short,-0.7023221071871057,2025-11-10 12:00:00,2025-11-10 16:00:00
104783.98,101297.31,314.76651272106153,TP,short,3.3274838386554872,2025-11-11 04:00:00,2025-11-12 16:00:00
103475.66,98682.14,448.42379458119103,TP,short,4.632509712912199,2025-11-13 04:00:00,2025-11-13 16:00:00
90459.35,91425.52,-106.74117740354806,SL,short,-1.0680709069875014,2025-12-05 12:00:00,2025-12-07 16:00:00
90395.31,91565.46,-128.40098101386988,SL,short,-1.2944808751693075,2025-12-07 20:00:00,2025-12-08 04:00:00
89961.37,92707.51,-300.04478133851023,SL,short,-3.052576900507406,2025-12-08 12:00:00,2025-12-09 12:00:00
90839.81,92513.38,-177.21746689256938,SL,short,-1.8423310220486007,2025-12-11 16:00:00,2025-12-11 20:00:00
90198.22,87033.22,333.1788148358289,TP,short,3.508938424727228,2025-12-12 16:00:00,2025-12-15 12:00:00
88513.44,84483.79,442.8923963385224,TP,short,4.552585460467934,2025-12-18 12:00:00,2025-12-18 16:00:00
87953.4,89170.1,-138.86576100938373,SL,short,-1.3833461810458854,2025-12-19 04:00:00,2025-12-22 04:00:00
88052.43,88620.79,-64.16829671533058,SL,short,-0.6454790628719737,2025-12-22 16:00:00,2025-12-22 20:00:00
87574.79,88371.27,-90.00515404268634,SL,short,-0.9094854809243739,2025-12-23 04:00:00,2025-12-25 12:00:00
88371.27,90123.55,-194.98009896027096,SL,short,-1.9828616245981285,2025-12-25 12:00:00,2025-12-29 00:00:00
87567.66,89016.35,-160.42030943212924,SL,short,-1.6543664636008342,2025-12-29 08:00:00,2025-12-30 12:00:00
88226.16,89011.52,-85.31792978877228,SL,short,-0.8901668167355359,2025-12-30 16:00:00,2025-12-31 08:00:00
